# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
5	bridge/bridgeMessaging.ts :: TS2339 :: Property 'type' does not exist on type 'never'.
2	bridge/bridgeMessaging.ts :: TS2339 :: Property 'uuid' does not exist on type 'never'.
2	bridge/bridgeMessaging.ts :: TS2698 :: Spread types may only be created from object types.
1	bridge/inboundAttachments.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'ContentBlockParam[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	bridge/inboundMessages.ts :: TS2345 :: Argument of type 'SDKContentBlock[]' is not assignable to parameter of type 'ContentBlockParam[]'.
1	bridge/initReplBridge.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'string | readonly ({ readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; ... 4 more ...; readonly type: "char_location"; } | { ...; } | { ...; } | { ...; } | { ...; })[]; } | ...'.
2	bridge/remoteBridgeCore.ts :: TS2339 :: Property 'request_id' does not exist on type 'unknown'.
1	bridge/remoteBridgeCore.ts :: TS2339 :: Property 'request' does not exist on type 'unknown'.
2	bridge/remoteBridgeCore.ts :: TS2698 :: Spread types may only be created from object types.
1	bridge/replBridge.ts :: TS2339 :: Property 'request_id' does not exist on type 'unknown'.
2	bridge/replBridge.ts :: TS2698 :: Spread types may only be created from object types.
1	bridge/trustedDevice.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	buddy/prompt.ts :: TS2339 :: Property 'name' does not exist on type 'unknown'.
1	buddy/prompt.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	buddy/useBuddyNotification.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	cli/handlers/auth.ts :: TS2339 :: Property 'message' does not exist on type 'OrgValidationResult'.
2	cli/handlers/mcp.tsx :: TS2339 :: Property 'args' does not exist on type '({ command: string; args: string[]; type?: "stdio"; env?: Record<string, string>; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; })'.
1	cli/handlers/mcp.tsx :: TS2339 :: Property 'command' does not exist on type '({ command: string; args: string[]; type?: "stdio"; env?: Record<string, string>; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; })'.
2	cli/print.ts :: TS2322 :: Type '"user"' is not assignable to type '"user_replay"'.
1	cli/print.ts :: TS2322 :: Type 'string | ContentBlockParam[]' is not assignable to type 'string | SDKContentBlock[]'.
1	cli/print.ts :: TS2322 :: Type 'string | MessageContentBlock[]' is not assignable to type 'string | ContentBlockParam[]'.
1	cli/print.ts :: TS2322 :: Type 'unknown' is not assignable to type 'object'.
2	cli/print.ts :: TS2339 :: Property 'added' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'agents' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'appendSystemPrompt' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'args' does not exist on type '({ command: string; args: string[]; type?: "stdio"; env?: Record<string, string>; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; })'.
1	cli/print.ts :: TS2339 :: Property 'command' does not exist on type '({ command: string; args: string[]; type?: "stdio"; env?: Record<string, string>; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; }) | ({ ...; } & { ...; })'.
1	cli/print.ts :: TS2339 :: Property 'endsWith' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'errors' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'fast_mode_state' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'hooks' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'jsonSchema' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'map' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'message' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'plugins' does not exist on type '{}'.
1	cli/print.ts :: TS2339 :: Property 'priority' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'promptSuggestions' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'removed' does not exist on type 'unknown'.
5	cli/print.ts :: TS2339 :: Property 'request_id' does not exist on type 'unknown'.
67	cli/print.ts :: TS2339 :: Property 'request' does not exist on type 'unknown'.
5	cli/print.ts :: TS2339 :: Property 'response' does not exist on type 'unknown'.
5	cli/print.ts :: TS2339 :: Property 'subtype' does not exist on type 'unknown'.
2	cli/print.ts :: TS2339 :: Property 'systemPrompt' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'timestamp' does not exist on type 'unknown'.
1	cli/print.ts :: TS2339 :: Property 'type' does not exist on type '{}'.
19	cli/print.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
9	cli/print.ts :: TS2339 :: Property 'uuid' does not exist on type 'unknown'.
1	cli/print.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'Record<string, unknown>'.
1	cli/print.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'SDKMessageBase'.
6	cli/print.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	cli/print.ts :: TS2352 :: Conversion of type '{ type: "user"; message: any; session_id: `${string}-${string}-${string}-${string}-${string}`; parent_tool_use_id: null; uuid: any; timestamp: any; isReplay: boolean; }' to type 'SDKUserMessageReplay' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	cli/print.ts :: TS2550 :: Property 'findLast' does not exist on type 'QueuedCommand[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	cli/print.ts :: TS2739 :: Type 'McpServerConfigForProcessTransport' is missing the following properties from type '{ type: "sdk"; name: string; }': type, name
1	cli/print.ts :: TS2741 :: Property 'type' is missing in type '{}' but required in type '{ readonly [x: string]: unknown; readonly type: string; readonly subtype?: string; readonly uuid?: string; readonly session_id?: string; readonly request_id?: string; readonly message?: { readonly [x: string]: unknown; readonly role?: string; readonly content?: string | readonly { ...; }[]; }; }'.
1	cli/print.ts :: TS2741 :: Property 'type' is missing in type '{}' but required in type 'SDKMessageBase'.
1	cli/remoteIO.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	cli/structuredIO.ts :: TS2322 :: Type 'unknown' is not assignable to type 'object'.
1	cli/structuredIO.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
2	cli/structuredIO.ts :: TS2339 :: Property 'message' does not exist on type 'unknown'.
1	cli/structuredIO.ts :: TS2339 :: Property 'request' does not exist on type '{}'.
5	cli/structuredIO.ts :: TS2339 :: Property 'request' does not exist on type 'unknown'.
13	cli/structuredIO.ts :: TS2339 :: Property 'response' does not exist on type 'unknown'.
12	cli/structuredIO.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	cli/structuredIO.ts :: TS2339 :: Property 'variables' does not exist on type 'unknown'.
2	cli/structuredIO.ts :: TS2345 :: Argument of type 'import("/usr/local/develop/open-source/claude-code/entrypoints/sdk/coreTypes.generated").PermissionUpdate[]' is not assignable to parameter of type 'import("/usr/local/develop/open-source/claude-code/types/permissions").PermissionUpdate[]'.
6	cli/transports/ccrClient.ts :: TS2339 :: Property 'event' does not exist on type 'unknown'.
1	cli/transports/ccrClient.ts :: TS2339 :: Property 'parent_tool_use_id' does not exist on type 'unknown'.
3	cli/transports/ccrClient.ts :: TS2339 :: Property 'retryAfterMs' does not exist on type 'RequestResult'.
1	cli/transports/ccrClient.ts :: TS2339 :: Property 'session_id' does not exist on type 'unknown'.
2	cli/transports/ccrClient.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	cli/transports/ccrClient.ts :: TS2339 :: Property 'uuid' does not exist on type 'unknown'.
3	cli/transports/ccrClient.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; }'.
1	cli/transports/ccrClient.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; message: { id: string; }; }'.
4	cli/transports/ccrClient.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'EventPayload'.
1	cli/transports/HybridTransport.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	cli/transports/SSETransport.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	cli/transports/WebSocketTransport.ts :: TS2322 :: Type 'unknown' is not assignable to type 'object'.
1	cli/transports/WebSocketTransport.ts :: TS2339 :: Property 'request_id' does not exist on type '{}'.
1	cli/transports/WebSocketTransport.ts :: TS2339 :: Property 'request' does not exist on type '{}'.
1	cli/transports/WebSocketTransport.ts :: TS2339 :: Property 'response' does not exist on type 'unknown'.
3	cli/transports/WebSocketTransport.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	commands.ts :: TS2554 :: Expected 0 arguments, but got 1.
2	commands/branch/branch.ts :: TS2322 :: Type 'string' is not assignable to type '`${string}-${string}-${string}-${string}-${string}`'.
1	commands/branch/branch.ts :: TS2503 :: Cannot find namespace 'React'.
1	commands/bridge/bridge.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	commands/brief.ts :: TS2503 :: Cannot find namespace 'React'.
1	commands/compact/compact.ts :: TS2339 :: Property 'reason' does not exist on type 'ReactiveCompactSuccess | ReactiveCompactFailure'.
2	commands/compact/compact.ts :: TS2339 :: Property 'result' does not exist on type 'ReactiveCompactSuccess | ReactiveCompactFailure'.
1	commands/context/context-noninteractive.ts :: TS2339 :: Property 'collapsedMessages' does not exist on type 'CollapseStats'.
3	commands/context/context-noninteractive.ts :: TS2339 :: Property 'collapsedSpans' does not exist on type 'CollapseStats'.
1	commands/context/context-noninteractive.ts :: TS2339 :: Property 'health' does not exist on type 'CollapseStats'.
2	commands/context/context-noninteractive.ts :: TS2339 :: Property 'stagedSpans' does not exist on type 'CollapseStats'.
1	commands/context/context-noninteractive.ts :: TS2740 :: Type 'ContextProjection' is missing the following properties from type 'Message[]': length, pop, push, concat, and 29 more.
1	commands/context/context.tsx :: TS2740 :: Type 'ContextProjection' is missing the following properties from type 'Message[]': length, pop, push, concat, and 29 more.
3	commands/insights.ts :: TS2322 :: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
1	commands/insights.ts :: TS2339 :: Property 'endsWith' does not exist on type 'NonSharedBuffer'.
4	commands/insights.ts :: TS2345 :: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
3	commands/insights.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	commands/mcp/mcp.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	commands/plugin/BrowseMarketplace.tsx :: TS2339 :: Property 'error' does not exist on type 'InstallPluginResult'.
1	commands/plugin/BrowseMarketplace.tsx :: TS2339 :: Property 'name' does not exist on type 'unknown'.
2	commands/plugin/DiscoverPlugins.tsx :: TS2339 :: Property 'error' does not exist on type 'InstallPluginResult'.
1	commands/plugin/ManageMarketplaces.tsx :: TS2339 :: Property 'pendingRemove' does not exist on type 'unknown'.
1	commands/plugin/ManageMarketplaces.tsx :: TS2339 :: Property 'pendingUpdate' does not exist on type 'unknown'.
2	commands/remote-setup/remote-setup.tsx :: TS2339 :: Property 'error' does not exist on type '{ ok: true; result: ImportTokenResult; } | { ok: false; error: ImportTokenError; }'.
1	commands/rename/generateSessionName.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	commands/resume/resume.tsx :: TS2322 :: Type '{ key: number; onDone: LocalJSXCommandOnDone; onResume: (sessionId: `${string}-${string}-${string}-${string}-${string}`, log: LogOption, entrypoint: ResumeEntrypoint) => Promise<...>; }' is not assignable to type '{ onDone: (result?: string, options?: { display?: CommandResultDisplay; }) => void; onResume: (sessionId: `${string}-${string}-${string}-${string}-${string}`, log: LogOption, entrypoint: ResumeEntrypoint) => Promise<...>; }'.
2	commands/resume/resume.tsx :: TS2339 :: Property 'command' does not exist on type '{ isCrossProject: true; isSameRepoWorktree: true; projectPath: string; } | { isCrossProject: true; isSameRepoWorktree: false; command: string; projectPath: string; }'.
1	commands/review/reviewRemote.ts :: TS2339 :: Property 'errors' does not exist on type 'RemoteAgentPreconditionResult'.
1	commands/terminalSetup/terminalSetup.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	commands/thinkback/thinkback.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	commands/ultraplan.tsx :: TS2339 :: Property 'errors' does not exist on type 'RemoteAgentPreconditionResult'.
2	commands/ultraplan.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	commands/upgrade/upgrade.tsx :: TS2339 :: Property 'organization_type' does not exist on type '{ uuid: string; has_extra_usage_enabled?: boolean; billing_type?: string; subscription_created_at?: string; }'.
1	commands/upgrade/upgrade.tsx :: TS2339 :: Property 'rate_limit_tier' does not exist on type '{ uuid: string; has_extra_usage_enabled?: boolean; billing_type?: string; subscription_created_at?: string; }'.
1	components/agents/generateAgent.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
1	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2322 :: Type 'unknown' is not assignable to type '"userSettings" | "projectSettings" | "localSettings" | "flagSettings" | "policySettings" | "built-in"'.
6	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'agentType' does not exist on type 'unknown'.
1	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'getSystemPrompt' does not exist on type 'unknown'.
3	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'memory' does not exist on type 'unknown'.
3	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'model' does not exist on type 'unknown'.
3	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'tools' does not exist on type 'unknown'.
3	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2339 :: Property 'whenToUse' does not exist on type 'unknown'.
1	components/agents/new-agent-creation/wizard-steps/ConfirmStep.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'Omit<CustomAgentDefinition, "location">'.
1	components/agents/new-agent-creation/wizard-steps/ConfirmStepWrapper.tsx :: TS2554 :: Expected 1 arguments, but got 0.
1	components/agents/new-agent-creation/wizard-steps/MemoryStep.tsx :: TS2339 :: Property 'agentType' does not exist on type 'unknown'.
1	components/agents/new-agent-creation/wizard-steps/MemoryStep.tsx :: TS2698 :: Spread types may only be created from object types.
2	components/agents/ToolSelector.tsx :: TS2339 :: Property 'name' does not exist on type 'unknown'.
1	components/agents/ToolSelector.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/AutoUpdater.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"production"' and '"development"' have no overlap.
1	components/AutoUpdater.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"production"' and '"test"' have no overlap.
1	components/BridgeDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/ConsoleOAuthFlow.tsx :: TS2339 :: Property 'message' does not exist on type 'OrgValidationResult'.
1	components/ContextVisualization.tsx :: TS2339 :: Property 'collapsedMessages' does not exist on type 'CollapseStats'.
3	components/ContextVisualization.tsx :: TS2339 :: Property 'collapsedSpans' does not exist on type 'CollapseStats'.
1	components/ContextVisualization.tsx :: TS2339 :: Property 'health' does not exist on type 'CollapseStats'.
2	components/ContextVisualization.tsx :: TS2339 :: Property 'stagedSpans' does not exist on type 'CollapseStats'.
1	components/CustomSelect/select.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'number'.
1	components/CustomSelect/use-multi-select-state.ts :: TS2554 :: Expected 2 arguments, but got 1.
1	components/DevBar.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/DevBar.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"production"' and '"development"' have no overlap.
1	components/diff/DiffDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/EffortIndicator.ts :: TS2678 :: Type '"max"' is not comparable to type 'EffortLevel'.
1	components/Feedback.tsx :: TS2339 :: Property 'text' does not exist on type 'string | MessageContentBlock'.
1	components/Feedback.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	components/Feedback.tsx :: TS2345 :: Argument of type '{ rawTranscriptJsonl: string; subagentTranscripts: { [x: string]: Message[]; }; latestAssistantMessageId: unknown; message_count: number; datetime: string; description: any; platform: Platform; ... 5 more ...; lastApiRequest: Omit<...>; }' is not assignable to parameter of type 'FeedbackData'.
1	components/Feedback.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/FeedbackSurvey/useMemorySurvey.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/FullscreenLayout.tsx :: TS2339 :: Property 'text' does not exist on type 'string | MessageContentBlock'.
1	components/FullscreenLayout.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	components/GlobalSearchDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/HistorySearchDialog.tsx :: TS2339 :: Property 'age' does not exist on type 'unknown'.
1	components/HistorySearchDialog.tsx :: TS2339 :: Property 'display' does not exist on type 'unknown'.
2	components/HistorySearchDialog.tsx :: TS2339 :: Property 'entry' does not exist on type 'unknown'.
1	components/HistorySearchDialog.tsx :: TS2339 :: Property 'firstLine' does not exist on type 'unknown'.
1	components/HistorySearchDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
3	components/LogoV2/feedConfigs.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
3	components/LogoV2/LogoV2.tsx :: TS2304 :: Cannot find name 'ExperimentEnrollmentNotice'.
3	components/LogoV2/LogoV2.tsx :: TS2304 :: Cannot find name 'GateOverridesWarning'.
1	components/Markdown.tsx :: TS2322 :: Type '{ key: any; token: Table; highlight: any; }' is not assignable to type 'Props'.
2	components/mcp/ElicitationDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/mcp/index.ts :: TS2305 :: Module '"./types.js"' has no exported member 'AgentMcpServerInfo'.
1	components/mcp/index.ts :: TS2305 :: Module '"./types.js"' has no exported member 'MCPViewState'.
1	components/mcp/index.ts :: TS2724 :: '"./types.js"' has no exported member named 'ServerInfo'. Did you mean 'SSEServerInfo'?
1	components/mcp/MCPAgentServerMenu.tsx :: TS2305 :: Module '"./types.js"' has no exported member 'AgentMcpServerInfo'.
1	components/mcp/MCPListPanel.tsx :: TS2305 :: Module '"./types.js"' has no exported member 'AgentMcpServerInfo'.
1	components/mcp/MCPListPanel.tsx :: TS2724 :: '"./types.js"' has no exported member named 'ServerInfo'. Did you mean 'SSEServerInfo'?
1	components/mcp/MCPSettings.tsx :: TS2305 :: Module '"./types.js"' has no exported member 'AgentMcpServerInfo'.
1	components/mcp/MCPSettings.tsx :: TS2305 :: Module '"./types.js"' has no exported member 'MCPViewState'.
1	components/mcp/MCPSettings.tsx :: TS2724 :: '"./types.js"' has no exported member named 'ServerInfo'. Did you mean 'SSEServerInfo'?
1	components/mcp/MCPToolDetailView.tsx :: TS2724 :: '"./types.js"' has no exported member named 'ServerInfo'. Did you mean 'SSEServerInfo'?
1	components/mcp/MCPToolListView.tsx :: TS2724 :: '"./types.js"' has no exported member named 'ServerInfo'. Did you mean 'SSEServerInfo'?
1	components/MemoryUsageIndicator.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/Message.tsx :: TS2339 :: Property 'isSnipMarkerMessage' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/services/compact/snipCompact")'.
1	components/Message.tsx :: TS2345 :: Argument of type 'UserMessage | AssistantMessage | SystemMessage | AttachmentMessage | GroupedToolUseMessage | CollapsedReadSearchGroup' is not assignable to parameter of type '{ type: string; message?: { content: { type: string; }[]; }; }'.
2	components/messageActions.tsx :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	components/messageActions.tsx :: TS2339 :: Property 'content' does not exist on type 'string | MessageContentBlock'.
1	components/messageActions.tsx :: TS2339 :: Property 'input' does not exist on type 'string | MessageContentBlock'.
1	components/messageActions.tsx :: TS2339 :: Property 'map' does not exist on type 'unknown'.
1	components/messageActions.tsx :: TS2339 :: Property 'messages' does not exist on type 'never'.
2	components/messageActions.tsx :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
1	components/messageActions.tsx :: TS2339 :: Property 'prompt' does not exist on type 'unknown'.
6	components/messageActions.tsx :: TS2339 :: Property 'text' does not exist on type 'string | MessageContentBlock'.
7	components/messageActions.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
3	components/messageActions.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	components/messageActions.tsx :: TS2678 :: Type '"collapsed_read_search"' is not comparable to type '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"'.
1	components/MessageRow.tsx :: TS2339 :: Property 'every' does not exist on type 'unknown'.
2	components/MessageRow.tsx :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
1	components/MessageRow.tsx :: TS2339 :: Property 'input' does not exist on type 'string | MessageContentBlock'.
1	components/MessageRow.tsx :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
1	components/MessageRow.tsx :: TS2339 :: Property 'some' does not exist on type 'unknown'.
5	components/MessageRow.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	components/MessageRow.tsx :: TS2345 :: Argument of type 'Message' is not assignable to parameter of type '{ type: string; message?: { content: { type: string; }[]; }; }'.
1	components/MessageRow.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
2	components/MessageRow.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "collapsed_read_search_group" | "request_start"' and '"collapsed_read_search"' have no overlap.
1	components/MessageRow.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"' and '"collapsed_read_search"' have no overlap.
1	components/Messages.tsx :: TS2339 :: Property 'every' does not exist on type 'unknown'.
1	components/Messages.tsx :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
1	components/Messages.tsx :: TS2339 :: Property 'is_error' does not exist on type 'string | MessageContentBlock'.
1	components/Messages.tsx :: TS2339 :: Property 'tool_use_id' does not exist on type 'string | MessageContentBlock'.
2	components/Messages.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	components/Messages.tsx :: TS2345 :: Argument of type '(UserMessage | AssistantMessage | SystemMessage | AttachmentMessage)[] | { type: string; isMeta?: boolean; message?: { ...; }; }[]' is not assignable to parameter of type 'Message[]'.
1	components/Messages.tsx :: TS2345 :: Argument of type '(UserMessage | AssistantMessage | SystemMessage | AttachmentMessage)[] | { type: string; isMeta?: boolean; message?: { ...; }; }[]' is not assignable to parameter of type 'MessageWithoutProgress[]'.
1	components/Messages.tsx :: TS2345 :: Argument of type '(UserMessage | AssistantMessage | SystemMessage | AttachmentMessage)[]' is not assignable to parameter of type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }[]'.
1	components/Messages.tsx :: TS2345 :: Argument of type '(UserMessage | AssistantMessage | SystemMessage | AttachmentMessage)[]' is not assignable to parameter of type '{ type: string; subtype?: string; isMeta?: boolean; isApiErrorMessage?: boolean; message?: { content: { type: string; name?: string; tool_use_id?: string; }[]; }; attachment?: { type: string; isMeta?: boolean; origin?: unknown; commandMode?: string; }; }[]'.
2	components/Messages.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"' and '"collapsed_read_search"' have no overlap.
1	components/Messages.tsx :: TS2678 :: Type '"collapsed_read_search"' is not comparable to type '"user" | "assistant" | "system" | "stream_event" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"'.
1	components/messages/AssistantToolUseMessage.tsx :: TS2315 :: Type 'ProgressMessage' is not generic.
1	components/messages/AssistantToolUseMessage.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/messages/AttachmentMessage.tsx :: TS1360 :: Type '"structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "skill_discovery" | ... 23 more ... | "bagel_console"' does not satisfy the expected type '"structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "skill_discovery" | ... 26 more ... | "pen_mode_exit"'.
1	components/messages/AttachmentMessage.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
2	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'at' does not exist on type 'unknown'.
2	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'elapsedTimeSeconds' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'filter' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
5	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'length' does not exist on type 'unknown'.
4	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'map' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'phase' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'split' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'toolInput' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'toolName' does not exist on type 'unknown'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'totalLines' does not exist on type 'unknown'.
